Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBMD RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 134004.406159 73314.051837 11795.153441 72187.231302 15255.090235 87.972578 1072.306719 1384.896738 1512.371446 74930.346571 24472.439674 244724.396744 2447.243967 329971.483548 2447.243967 19577.951740 904516.055716 1038949.652673 2447243.967444 2447.243967 1246739.583208 3746517.328532 3040732.093783 56567449.515743 655168.139075 37485952.278373 374651.732853 2077899.305346 2077899.305346 10389496.526730 41557986.106920 0.000000 2122277142.529551 1.000000 1.000000 1.000000 1.000000 1.000000 1.031736 1.000000 1.013877 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -9520.265444 0.240000
1.000000e+00 133887.238355 73264.316405 11793.822267 72204.970055 15237.904371 87.972567 1071.474295 1384.896738 1512.320531 76899.556625 24474.662923 244709.035588 2450.517104 329969.816855 2449.668275 19582.608236 1020259.438782 1038524.261136 2447229.232586 2447.225479 1246698.935902 4255676.909737 5151439.480581 58873855.776805 740589.383415 42584011.883494 1582576.802585 2078225.605349 2077890.536023 10400662.681281 41563233.676354 0.000000 4304505604.247688 0.999126 0.999322 0.999887 1.000246 0.998873 1.031736 0.999224 1.013877 0.999966 1.026281 1.000091 0.999937 1.001337 0.999995 1.000991 1.000238 1.127962 0.999591 0.999994 0.999992 0.999967 1.135902 1.694144 1.040773 1.130381 1.135999 4.224128 1.000157 0.999996 1.001075 1.000126 1.000000 2.028249 0.000939 0.000000 22.600000 9.557787 -9511.854399 0.091996
2.000000e+00 133788.071814 73223.012061 11792.473904 72222.713384 15220.892290 87.972557 1070.784463 1384.896738 1512.273631 76889.321232 24477.098711 244696.504501 2453.324369 329968.150210 2451.796120 19586.186558 1020196.071038 1038239.402073 2447215.630728 2447.209515 1246671.923221 4255667.064899 5154309.141892 60387646.567582 740742.377678 42587883.780931 2687611.273271 2078455.367794 2077884.391065 10412032.499211 41568620.920543 0.000000 4303315218.807856 0.998386 0.998758 0.999773 1.000492 0.997758 1.031736 0.998580 1.013877 0.999935 1.026144 1.000190 0.999886 1.002485 0.999990 1.001860 1.000421 1.127892 0.999316 0.999988 0.999986 0.999946 1.135899 1.695088 1.067533 1.130614 1.136102 7.173626 1.000268 0.999993 1.002169 1.000256 1.000000 2.027688 0.000939 0.000000 23.200000 9.556995 -9504.735599 0.091992
3.000000e+00 133689.714746 73182.492280 11791.126126 72240.453137 15204.051126 87.972547 1070.096185 1384.896738 1512.226731 76879.088934 24479.534529 244683.969387 2456.134915 329966.483657 2453.929345 19589.765291 1020133.199679 1037954.732973 2447202.019551 2447.193517 1246644.909340 4255657.221121 5154051.828678 61064305.206747 740896.177202 42592155.591829 4308325.918838 2078697.466131 2077878.248190 10423137.309358 41573946.447760 0.000000 4303118485.530407 0.997652 0.998206 0.999659 1.000737 0.996654 1.031735 0.997939 1.013877 0.999904 1.026007 1.000290 0.999835 1.003633 0.999985 1.002732 1.000603 1.127822 0.999042 0.999983 0.999979 0.999924 1.135897 1.695004 1.079495 1.130849 1.136216 11.499549 1.000384 0.999990 1.003238 1.000384 1.000000 2.027595 0.000939 0.000000 23.200000 9.556384 -9497.674908 0.091989
4.000000e+00 133592.171301 73142.735534 11789.778934 72258.189953 15187.378083 87.972537 1069.409455 1384.896738 1512.179832 76868.859720 24481.970344 244671.431326 2458.948813 329964.817218 2456.068132 19593.344419 1020070.997820 1037670.251714 2447188.398931 2447.177482 1246617.894800 4255647.378403 5153348.167491 61361047.973670 741050.591918 42596797.230912 6347410.292667 2078951.733461 2077872.106879 10433904.278994 41579220.001493 0.000000 4303383051.945468 0.996924 0.997663 0.999544 1.000983 0.995561 1.031735 0.997298 1.013877 0.999873 1.025871 1.000389 0.999784 1.004783 0.999980 1.003606 1.000786 1.127753 0.998769 0.999977 0.999973 0.999902 1.135894 1.694772 1.084741 1.131085 1.136340 16.942162 1.000506 0.999987 1.004274 1.000511 1.000000 2.027720 0.000940 0.000000 23.200000 9.555773 -9490.672624 0.091986
5.000000e+00 133495.437529 73103.721084 11788.432328 72275.923963 15170.870425 87.972527 1068.724268 1384.896738 1512.132933 76858.633578 24484.406146 244658.890236 2461.766084 329963.150915 2458.212517 19596.923938 1020009.470087 1037385.954864 2447174.768813 2447.161410 1246590.879004 4255637.536744 5152594.008139 61485118.871761 741205.472014 42601746.966022 8554913.983506 2079217.896965 2077865.967654 10444290.632203 41584447.009485 0.000000 4303781893.334042 0.996202 0.997131 0.999430 1.001229 0.994479 1.031735 0.996659 1.013877 0.999842 1.025734 1.000489 0.999732 1.005934 0.999975 1.004482 1.000969 1.127685 0.998495 0.999972 0.999966 0.999881 1.135892 1.694524 1.086935 1.131321 1.136472 22.834310 1.000635 0.999984 1.005274 1.000637 1.000000 2.027908 0.000940 0.000000 23.200000 9.555162 -9483.728463 0.091983
6.000000e+00 133399.480238 73065.428937 11787.086307 72293.654355 15154.525481 87.972517 1068.040617 1384.896738 1512.086034 76848.410497 24486.841934 244646.345060 2464.586695 329961.484764 2460.362411 19600.503852 1019948.494825 1037101.839306 2447161.129237 2447.145303 1246563.861971 4255627.696144 5151823.281482 61528639.971718 741360.677003 42606921.717420 10690237.612900 2079495.610485 2077859.830470 10454292.182030 41589630.018309 0.000000 4304163977.791593 0.995486 0.996609 0.999316 1.001474 0.993408 1.031735 0.996022 1.013877 0.999811 1.025598 1.000589 0.999681 1.007087 0.999970 1.005360 1.001152 1.127618 0.998221 0.999966 0.999960 0.999859 1.135889 1.694271 1.087704 1.131558 1.136610 28.533800 1.000768 0.999981 1.006237 1.000761 1.000000 2.028088 0.000940 0.000000 23.200000 9.554552 -9476.840043 0.091980
7.000000e+00 133304.259789 73027.839822 11785.740873 72311.380531 15138.340640 87.972508 1067.358498 1384.896738 1512.039136 76838.190465 24489.277698 244633.794518 2467.410596 329959.818769 2462.517689 19604.084165 1019887.931427 1036817.903229 2447147.480292 2447.129164 1246536.845290 4255617.856601 5151042.186872 61538338.688114 741516.113102 42612261.327523 12585633.647950 2079784.497291 2077853.693842 10463936.255606 41594770.551209 0.000000 4304474088.829788 0.994775 0.996096 0.999202 1.001720 0.992347 1.031735 0.995385 1.013877 0.999780 1.025462 1.000688 0.999630 1.008241 0.999965 1.006241 1.001335 1.127551 0.997948 0.999961 0.999953 0.999837 1.135886 1.694014 1.087875 1.131795 1.136753 33.592888 1.000907 0.999978 1.007165 1.000885 1.000000 2.028234 0.000941 0.000000 23.200000 9.553942 -9470.004518 0.091976
8.000000e+00 133209.741009 72990.935149 11784.396025 72329.102216 15122.313347 87.972498 1066.677905 1384.896738 1511.992238 76827.974617 24491.713443 244621.237495 2470.237744 329958.152925 2464.678255 19607.664880 1019827.669483 1036534.142321 2447133.822017 2447.112996 1246509.826957 4255608.018814 5150253.751490 61534434.945833 741671.703997 42617710.736191 14183841.053501 2080084.227164 2077847.559584 10473267.552123 41599869.247472 0.000000 4304718205.902629 0.994070 0.995593 0.999088 1.001965 0.991296 1.031735 0.994751 1.013877 0.999749 1.025325 1.000788 0.999578 1.009396 0.999960 1.007124 1.001518 1.127484 0.997675 0.999955 0.999946 0.999816 1.135884 1.693755 1.087806 1.132033 1.136898 37.858736 1.001052 0.999975 1.008063 1.001008 1.000000 2.028349 0.000941 0.000000 23.200000 9.553332 -9463.219363 0.091973
9.000000e+00 133115.897404 72954.696984 11783.051764 72346.818189 15106.441107 87.972488 1065.998832 1384.896738 1511.945341 76817.761865 24494.149149 244608.673185 2473.068107 329956.487220 2466.844046 19611.245998 1019767.636305 1036250.554885 2447120.154486 2447.096799 1246482.807869 4255598.182784 5149460.535078 61525080.277744 741827.401696 42623234.382290 15495853.498277 2080394.492352 2077841.426856 10482334.653399 41604927.573760 0.000000 4304914240.389253 0.993370 0.995098 0.998974 1.002211 0.990256 1.031735 0.994117 1.013877 0.999718 1.025189 1.000887 0.999527 1.010552 0.999955 1.008009 1.001701 1.127418 0.997402 0.999949 0.999940 0.999794 1.135881 1.693494 1.087641 1.132270 1.137046 41.360688 1.001201 0.999972 1.008936 1.001130 1.000000 2.028441 0.000942 0.000000 23.200000 9.552723 -9456.482677 0.091970
