Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBMD RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 134004.406159 73314.051837 11795.153441 72187.231302 15255.090235 87.972578 1072.306719 1384.896738 1512.371446 74930.346571 24472.439674 244724.396744 2447.243967 329971.483548 2447.243967 19577.951740 904516.055716 1038949.652673 2447243.967444 2447.243967 1246739.583208 3746517.328532 3040732.093783 56567449.515743 655168.139075 37485952.278373 374651.732853 2077899.305346 2077899.305346 10389496.526730 41557986.106920 0.000000 2122277142.529551 1.000000 1.000000 1.000000 1.000000 1.000000 1.031736 1.000000 1.013877 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -9520.265444 0.240000
1.000000e+00 134065.090891 73311.948322 11795.856502 72221.297068 15255.311753 87.972645 1072.509994 1384.896738 1512.341140 84966.118602 24474.573906 244717.908184 2450.278373 329969.816853 2447.824386 19580.919815 1020344.735148 1038848.006207 2447229.232469 2447.225479 1246698.899949 4256067.883347 5145931.868073 60945459.379490 740486.651465 42580734.409563 1577318.465192 2077463.581141 2077890.535310 10400652.383064 41564887.933216 0.000000 4302447861.372374 1.000453 0.999971 1.000060 1.000472 1.000015 1.031737 1.000190 1.013877 0.999980 1.133935 1.000087 0.999973 1.001240 0.999995 1.000237 1.000152 1.128056 0.999902 0.999994 0.999992 0.999967 1.136006 1.692333 1.077395 1.130224 1.135912 4.210093 0.999790 0.999996 1.001074 1.000166 1.000000 2.027279 0.000791 0.000000 22.200000 9.558023 -9524.621777 0.091999
2.000000e+00 134126.723252 73310.160851 11796.373204 72255.382272 15255.552257 87.972706 1072.543156 1384.896738 1512.313542 84818.906848 24476.959634 244713.004158 2452.893939 329968.150206 2448.332944 19583.196245 1020356.212448 1038780.065683 2447215.631090 2447.209511 1246671.852179 4256461.816935 5145153.498235 61548074.766188 740560.851534 42581161.171386 2673009.897495 2077187.224016 2077884.389631 10412007.923527 41571751.521745 0.000000 4302183850.838569 1.000913 0.999947 1.000103 1.000944 1.000030 1.031737 1.000220 1.013877 0.999962 1.131970 1.000185 0.999953 1.002309 0.999990 1.000445 1.000268 1.128069 0.999837 0.999988 0.999986 0.999946 1.136112 1.692077 1.088048 1.130337 1.135923 7.134652 0.999657 0.999993 1.002167 1.000331 1.000000 2.027155 0.000246 0.000000 22.800000 9.557804 -9529.046137 0.091998
3.000000e+00 134190.976254 73308.384140 11796.907785 72289.465436 15255.810287 87.972769 1072.568479 1384.896738 1512.285973 84672.120961 24479.344970 244708.105871 2455.509922 329966.483650 2448.842154 19585.473237 1020367.787337 1038712.241452 2447202.020927 2447.193506 1246644.804886 4256856.172735 5144353.840359 61594580.782102 740635.244024 42581829.657573 4277491.221390 2076927.312421 2077878.243857 10423091.789125 41578404.264288 0.000000 4302632175.880549 1.001392 0.999923 1.000149 1.001416 1.000047 1.031738 1.000244 1.013877 0.999943 1.130011 1.000282 0.999933 1.003378 0.999985 1.000653 1.000384 1.128081 0.999771 0.999983 0.999979 0.999924 1.136217 1.691814 1.088870 1.130451 1.135941 11.417247 0.999532 0.999990 1.003234 1.000491 1.000000 2.027366 0.000212 0.000000 22.800000 9.557643 -9533.658623 0.091998
4.000000e+00 134256.132314 73306.615505 11797.446776 72323.545478 15256.084515 87.972831 1072.593333 1384.896738 1512.258411 84525.759624 24481.729887 244703.214246 2458.126498 329964.817208 2449.352139 19587.750735 1020379.893871 1038644.528641 2447188.401867 2447.177463 1246617.756078 4257250.963817 5143552.800964 61613536.040691 740709.909196 42582782.251304 6295106.608672 2076683.849681 2077872.099865 10433831.144343 41584882.584627 0.000000 4303193608.639835 1.001878 0.999899 1.000194 1.001888 1.000065 1.031739 1.000267 1.013877 0.999925 1.128058 1.000380 0.999913 1.004447 0.999980 1.000861 1.000501 1.128095 0.999706 0.999977 0.999973 0.999902 1.136322 1.691551 1.089205 1.130565 1.135966 16.802556 0.999415 0.999987 1.004267 1.000647 1.000000 2.027630 0.000206 0.000000 22.800000 9.557483 -9538.335936 0.091997
5.000000e+00 134321.770205 73304.854099 11797.986805 72357.623616 15256.373735 87.972894 1072.618217 1384.896738 1512.230852 84379.821518 24484.114431 244698.328780 2460.743824 329963.150901 2449.862913 19590.028737 1020392.605093 1038576.923874 2447174.773863 2447.161381 1246590.706100 4257646.182865 5142756.032930 61630770.272760 740784.839551 42584000.098285 8479910.406548 2076456.693385 2077865.957370 10444182.621423 41591210.875665 0.000000 4303724482.746674 1.002368 0.999875 1.000240 1.002360 1.000084 1.031740 1.000290 1.013877 0.999907 1.126110 1.000477 0.999893 1.005516 0.999975 1.001070 1.000617 1.128109 0.999641 0.999972 0.999966 0.999881 1.136428 1.691289 1.089509 1.130679 1.135999 22.634115 0.999306 0.999984 1.005264 1.000799 1.000000 2.027881 0.000201 0.000000 22.800000 9.557322 -9543.047838 0.091997
6.000000e+00 134387.722056 73303.099684 11798.527061 72391.699010 15256.676846 87.972957 1072.643161 1384.896738 1512.203293 84234.305328 24486.498651 244693.447332 2463.361998 329961.484745 2450.374391 19592.307249 1020405.817178 1038509.424099 2447161.136961 2447.145261 1246563.655769 4258041.739929 5141954.010197 61643027.753599 740859.965395 42585424.129133 10593342.638262 2076245.612110 2077859.815653 10454140.928362 41597406.093962 0.000000 4304168144.940473 1.002860 0.999851 1.000286 1.002832 1.000104 1.031740 1.000314 1.013877 0.999889 1.124168 1.000574 0.999874 1.006586 0.999970 1.001279 1.000733 1.128123 0.999576 0.999966 0.999960 0.999859 1.136533 1.691025 1.089726 1.130794 1.136037 28.275173 0.999204 0.999981 1.006222 1.000949 1.000000 2.028090 0.000198 0.000000 22.800000 9.557161 -9547.782278 0.091996
7.000000e+00 134453.873828 73301.352173 11799.067346 72425.770808 15256.992844 87.973021 1072.668161 1384.896738 1512.175735 84089.209740 24488.882588 244688.567564 2465.981097 329959.818744 2450.886469 19594.586278 1020419.392753 1038442.024498 2447147.491258 2447.129107 1246536.603381 4258437.529615 5141149.563662 61653154.743698 740935.222457 42587005.760428 12467777.329050 2076050.357645 2077853.676306 10463732.105630 41603481.812200 0.000000 4304512004.201811 1.003354 0.999827 1.000332 1.003304 1.000125 1.031741 1.000337 1.013877 0.999871 1.122232 1.000672 0.999854 1.007656 0.999965 1.001488 1.000850 1.128139 0.999511 0.999961 0.999953 0.999837 1.136639 1.690760 1.089905 1.130909 1.136079 33.278312 0.999110 0.999978 1.007145 1.001095 1.000000 2.028252 0.000194 0.000000 22.800000 9.557001 -9552.531070 0.091996
8.000000e+00 134520.145136 73299.611517 11799.607613 72459.838636 15257.320815 87.973084 1072.693213 1384.896738 1512.148178 83944.533405 24491.266296 244683.687523 2468.601197 329958.152894 2451.399065 19596.865830 1020433.219662 1038374.724627 2447133.836798 2447.112922 1246509.552485 4258833.461493 5140343.306522 61661388.836925 741010.542885 42588692.277723 14045376.554661 2075870.651138 2077847.536101 10472999.728508 41609448.079966 0.000000 4304779975.358339 1.003849 0.999803 1.000378 1.003776 1.000146 1.031742 1.000360 1.013877 0.999852 1.120301 1.000769 0.999834 1.008727 0.999960 1.001698 1.000966 1.128154 0.999447 0.999955 0.999946 0.999815 1.136745 1.690495 1.090051 1.131023 1.136124 37.489154 0.999024 0.999975 1.008037 1.001238 1.000000 2.028378 0.000191 0.000000 22.800000 9.556841 -9557.288443 0.091995
9.000000e+00 134586.486889 73297.877678 11800.147844 72493.902430 15257.659922 87.973147 1072.718314 1384.896738 1512.120621 83800.274504 24493.649798 244678.806010 2471.222379 329956.487181 2451.912122 19599.145909 1020447.223991 1038307.519276 2447120.173663 2447.096706 1246482.499912 4259229.472690 5139535.181117 61668366.513793 741085.881747 42590448.719545 15336274.508022 2075706.288733 2077841.397971 10481991.569426 41615315.312169 0.000000 4304996917.810738 1.004344 0.999779 1.000423 1.004248 1.000168 1.031742 1.000384 1.013877 0.999834 1.118376 1.000867 0.999814 1.009798 0.999955 1.001908 1.001083 1.128169 0.999382 0.999949 0.999940 0.999794 1.136850 1.690230 1.090174 1.131138 1.136171 40.934749 0.998945 0.999972 1.008903 1.001379 1.000000 2.028480 0.000188 0.000000 22.600000 9.556681 -9562.050872 0.091995
1.000000e+01 134652.868930 73296.150620 11800.688034 72527.961233 15258.009399 87.973211 1072.743461 1384.896738 1512.093064 83656.432293 24496.033153 244673.921998 2473.844727 329954.821592 2452.425603 19601.426518 1020461.357631 1038240.407035 2447106.501833 2447.080460 1246455.446879 4259625.521394 5138724.613866 61674820.560328 741161.209981 42592252.415725 16380515.429229 2075557.072978 2077835.260833 10490751.416967 41621090.408717 0.000000 4305179380.732547 1.004839 0.999756 1.000469 1.004720 1.000191 1.031743 1.000407 1.013877 0.999816 1.116456 1.000964 0.999794 1.010870 0.999950 1.002117 1.001199 1.128185 0.999317 0.999944 0.999933 0.999772 1.136956 1.689963 1.090288 1.131253 1.136219 43.721980 0.998873 0.999969 1.009746 1.001518 1.000000 2.028566 0.000186 0.000000 22.600000 9.556521 -9566.816194 0.091994
1.100000e+01 134719.271853 72891.204377 9290.972592 72562.014907 15258.368545 87.973274 1072.768650 1384.896738 1512.065508 83513.005473 24498.416385 244669.034986 2476.468326 329953.156113 2452.939482 19603.707657 1020475.588451 1038173.385404 2447092.821345 2447.064186 1246428.392762 4260021.579812 5137911.114178 61680061.674126 741236.508809 42594088.284565 17224675.660488 2075422.852485 2077829.125289 10499315.969889 41626781.350356 0.000000 4305338295.857484 1.005335 0.994232 0.787694 1.005192 1.000215 1.031744 1.000431 1.013877 0.999798 1.114542 1.001061 0.999774 1.011942 0.999944 1.002327 1.001316 1.128201 0.999253 0.999938 0.999927 0.999750 1.137062 1.689695 1.090381 1.131368 1.136268 45.975166 0.998808 0.999966 1.010570 1.001655 1.000000 2.028641 0.000183 0.000000 22.600000 9.556362 -9571.583015 0.091994
1.200000e+01 134785.912504 72889.530116 9292.102267 72596.134158 15258.756292 87.973337 1072.794138 1384.896738 1512.037913 83369.754227 24500.835068 244664.081804 2479.105198 329951.489114 2453.461237 19606.023076 1020490.960859 1038106.327003 2447078.990464 2447.047806 1246401.286800 4260422.794565 5137094.504076 61685396.104679 741315.184318 42595886.028829 17911474.780900 2075303.264111 2077822.978469 10507712.620854 41632400.289030 0.000000 4305481209.269730 1.005832 0.994210 0.787790 1.005664 1.000240 1.031745 1.000455 1.013877 0.999779 1.112630 1.001160 0.999754 1.013019 0.999939 1.002541 1.001434 1.128218 0.999188 0.999933 0.999920 0.999729 1.137169 1.689427 1.090475 1.131488 1.136316 47.808333 0.998751 0.999963 1.011378 1.001791 1.000000 2.028708 0.000181 0.000000 22.600000 9.556202 -9576.366902 0.091994
1.300000e+01 134852.552171 72887.862700 9293.231625 72630.247202 15259.152668 87.973401 1072.819664 1384.896738 1512.010318 83226.917160 24503.253681 244659.124851 2481.743480 329949.822203 2453.983374 19608.339044 1020506.393435 1038039.356487 2447065.150840 2447.031398 1246374.180107 4260823.986990 5136275.768419 61690291.343930 741393.806497 42597698.305117 18474278.920986 2075198.460195 2077816.832972 10515966.493802 41637946.467999 0.000000 4305612001.322726 1.006329 0.994187 0.787886 1.006137 1.000266 1.031745 1.000478 1.013877 0.999761 1.110724 1.001259 0.999733 1.014097 0.999934 1.002754 1.001552 1.128235 0.999124 0.999927 0.999913 0.999707 1.137276 1.689158 1.090562 1.131608 1.136364 49.310539 0.998700 0.999960 1.012173 1.001924 1.000000 2.028770 0.000179 0.000000 22.600000 9.556043 -9581.150718 0.091993
1.400000e+01 134919.184171 72886.202097 9294.360665 72664.355152 15259.557123 87.973464 1072.845225 1384.896738 1511.982724 83084.492979 24505.672268 244654.163862 2484.383251 329948.155370 2454.505883 19610.655562 1020521.874107 1037972.472752 2447051.302438 2447.014962 1246347.072966 4261225.147385 5135455.284893 61694686.438916 741472.368971 42599519.479279 18939830.725514 2075108.346035 2077810.688564 10524095.924462 41643424.504553 0.000000 4305733614.786804 1.006826 0.994164 0.787981 1.006610 1.000293 1.031746 1.000502 1.013877 0.999743 1.108823 1.001358 0.999713 1.015176 0.999929 1.002967 1.001670 1.128252 0.999059 0.999921 0.999906 0.999685 1.137383 1.688888 1.090639 1.131728 1.136413 50.553165 0.998657 0.999957 1.012955 1.002056 1.000000 2.028827 0.000178 0.000000 22.600000 9.555884 -9585.933983 0.091992
1.500000e+01 134985.803646 72884.548273 9295.489384 72698.457160 15259.969147 87.973527 1072.870819 1384.896738 1511.955130 82942.480483 24508.090846 244649.198778 2487.024587 329946.488609 2455.028759 19612.972630 1020537.394053 1037905.675290 2447037.445265 2446.998499 1246319.966197 4261626.271192 5134633.226222 61698686.486799 741550.867045 42601345.334925 19328557.014604 2075032.833920 2077804.544521 10532115.405855 41648839.352199 0.000000 4305848168.269359 1.007324 0.994142 0.788077 1.007082 1.000320 1.031747 1.000526 1.013877 0.999725 1.106928 1.001457 0.999693 1.016255 0.999924 1.003181 1.001789 1.128269 0.998995 0.999916 0.999900 0.999663 1.137490 1.688617 1.090710 1.131848 1.136462 51.590732 0.998620 0.999954 1.013727 1.002186 1.000000 2.028881 0.000176 0.000000 22.600000 9.555725 -9590.716350 0.091992
1.600000e+01 135052.406966 72882.901195 9296.617780 72732.553675 15260.388276 87.973590 1072.896444 1384.896738 1511.927537 82800.878440 24510.509435 244644.229580 2489.667559 329944.821915 2455.551996 19615.290250 1020552.946311 1037838.962581 2447023.579334 2446.982009 1246292.859168 4262027.353160 5133809.723666 61702365.282760 741629.297091 42603172.632211 19656002.042583 2074971.853179 2077798.401446 10540036.492337 41654195.270618 0.000000 4305957168.863911 1.007821 0.994119 0.788173 1.007554 1.000347 1.031748 1.000550 1.013877 0.999706 1.105038 1.001556 0.999672 1.017335 0.999919 1.003395 1.001907 1.128286 0.998931 0.999910 0.999893 0.999642 1.137597 1.688347 1.090775 1.131968 1.136510 52.464730 0.998591 0.999951 1.014490 1.002315 1.000000 2.028933 0.000174 0.000000 22.600000 9.555566 -9595.497556 0.091992
1.700000e+01 135118.991360 72881.260833 9297.745852 72766.645575 15260.814079 87.973654 1072.922099 1384.896738 1511.899944 82659.685424 24512.928047 244639.256270 2492.312238 329943.155281 2456.075593 19617.608421 1020568.525186 1037772.333118 2447009.704654 2446.965493 1246265.751140 4262428.386829 5132984.880743 61705776.120439 741707.656167 42604998.826630 19934039.594040 2074925.338061 2077792.260040 10547868.492956 41659495.887631 0.000000 4306061712.749675 1.008318 0.994097 0.788268 1.008027 1.000375 1.031748 1.000574 1.013877 0.999688 1.103154 1.001654 0.999652 1.018416 0.999914 1.003609 1.002026 1.128303 0.998867 0.999904 0.999886 0.999620 1.137704 1.688075 1.090835 1.132087 1.136559 53.206853 0.998569 0.999948 1.015243 1.002443 1.000000 2.028982 0.000173 0.000000 22.600000 9.555407 -9600.277404 0.091991
