Time FVT_DEN FVT_SN FVT_RN FVT_Biomass SB_DEN SB_SN SB_RN SB_Biomass WHB_DEN WHB_SN WHB_RN WHB_Biomass
0.000000e+00 4.019290e+05 4.695681e+04 2.104674e+05 1.179515e+04 1.000000e+02 3.409910e+04 9.034300e+04 1.418640e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 4.013968e+05 4.738615e+04 1.558754e+05 9.301093e+03 9.999647e+01 3.410844e+04 9.036785e+04 1.418980e+00 2.600000e-14 8.173462e+07 2.165967e+08 8.842541e-13
6.000000e+01 4.814850e+05 3.564519e+04 1.174876e+05 8.405352e+03 9.999264e+01 3.411899e+04 9.039592e+04 1.419366e+00 2.600000e-14 8.173462e+07 2.165967e+08 8.842541e-13
9.000000e+01 5.473987e+05 3.243588e+04 1.056081e+05 8.614419e+03 9.998865e+01 3.413017e+04 9.042565e+04 1.419775e+00 2.600000e-14 8.173462e+07 2.165967e+08 8.842541e-13
1.200000e+02 5.436061e+05 3.299521e+04 1.057889e+05 8.600600e+03 2.356342e+02 3.659659e+04 1.795982e+05 5.807489e+00 2.600000e-14 8.173462e+07 2.165967e+08 8.842541e-13
1.500000e+02 4.060189e+05 3.354736e+04 1.060050e+05 6.459342e+03 3.478413e+03 1.031606e+04 6.103544e+04 2.829366e+01 2.600000e-14 8.173462e+07 2.165967e+08 8.842541e-13
1.800000e+02 2.691907e+05 3.398286e+04 1.061502e+05 4.300365e+03 3.965767e+03 9.124509e+03 5.369549e+04 2.840076e+01 2.006706e+01 7.787440e+07 2.043035e+08 6.455228e+02
2.100000e+02 1.331060e+05 3.436935e+04 1.062663e+05 2.134017e+03 3.939801e+03 9.194359e+03 5.400584e+04 2.838557e+01 4.197453e+01 7.909524e+07 2.084471e+08 1.375918e+03
2.400000e+02 2.600000e-14 1.722879e+05 2.357450e+05 1.209410e-15 3.914645e+03 9.262341e+03 5.431060e+04 2.837066e+01 4.197453e+01 7.909882e+07 1.917715e+08 1.296140e+03
2.700000e+02 2.600000e-14 1.722879e+05 2.357450e+05 1.209410e-15 3.890128e+03 9.328850e+03 5.461147e+04 2.835590e+01 4.197452e+01 7.910158e+07 1.917933e+08 1.296258e+03
3.000000e+02 2.600000e-14 1.722879e+05 2.357450e+05 1.209410e-15 3.865480e+03 9.396161e+03 4.847316e+04 2.550097e+01 4.197452e+01 7.910543e+07 1.918236e+08 1.296421e+03
3.300000e+02 2.600000e-14 1.722879e+05 2.357450e+05 1.209410e-15 3.840685e+03 9.464332e+03 4.874820e+04 2.548766e+01 4.197452e+01 7.910953e+07 1.918558e+08 1.296595e+03
3.600000e+02 2.600000e-14 1.722879e+05 2.357450e+05 1.209410e-15 3.814415e+03 9.537038e+03 4.904347e+04 2.547334e+01 4.197452e+01 7.911405e+07 1.918913e+08 1.296786e+03
3.650000e+02 2.600000e-14 1.722879e+05 2.357450e+05 1.209410e-15 3.809832e+03 9.549799e+03 4.909540e+04 2.547083e+01 4.197452e+01 7.911487e+07 1.918977e+08 1.296821e+03
3.900000e+02 2.600000e-14 1.722879e+05 1.980381e+05 1.097646e-15 3.786809e+03 9.614412e+03 4.935817e+04 2.545824e+01 4.197451e+01 7.911920e+07 1.919315e+08 1.297003e+03
4.200000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284163e-16 3.757837e+03 9.695974e+03 4.969330e+04 2.544197e+01 4.197451e+01 7.912483e+07 1.919755e+08 1.297241e+03
4.500000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 3.728474e+03 9.779533e+03 5.003824e+04 2.542531e+01 4.197451e+01 7.913081e+07 1.920219e+08 1.297491e+03
4.800000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 3.700732e+03 9.862036e+03 5.037024e+04 2.541100e+01 4.197451e+01 7.913664e+07 1.920671e+08 1.297735e+03
5.100000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.641403e+03 7.953554e+03 4.040700e+04 2.558853e+01 4.197450e+01 7.914218e+07 1.921099e+08 1.297966e+03
5.400000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.611277e+03 8.013435e+03 4.064483e+04 2.557895e+01 4.181737e+01 7.901643e+07 1.918043e+08 1.291052e+03
5.700000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.583177e+03 8.069320e+03 4.086917e+04 2.556949e+01 4.181737e+01 7.902181e+07 1.918472e+08 1.291281e+03
6.000000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.556440e+03 8.122635e+03 4.108488e+04 2.556006e+01 4.181737e+01 7.902619e+07 1.821761e+08 1.245198e+03
6.300000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.531206e+03 8.173089e+03 4.129048e+04 2.555078e+01 4.181737e+01 7.902925e+07 1.822163e+08 1.245405e+03
6.600000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.506170e+03 8.223225e+03 3.592176e+04 2.267743e+01 4.181737e+01 7.903195e+07 1.822515e+08 1.245585e+03
6.900000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.480096e+03 8.274923e+03 3.611048e+04 2.266900e+01 4.181736e+01 7.903468e+07 1.822870e+08 1.245767e+03
7.200000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.453424e+03 8.328307e+03 3.630568e+04 2.266024e+01 4.181736e+01 7.903749e+07 1.823235e+08 1.245955e+03
7.300000e+02 2.600000e-14 1.455577e+05 1.676732e+05 9.284162e-16 4.443780e+03 8.347754e+03 3.637682e+04 2.265706e+01 4.181736e+01 7.903852e+07 1.823368e+08 1.246023e+03
7.500000e+02 2.600000e-14 1.455577e+05 1.652981e+05 9.213765e-16 4.423652e+03 8.388738e+03 3.652639e+04 2.265053e+01 4.181736e+01 7.904070e+07 1.823649e+08 1.246167e+03
7.800000e+02 2.600000e-14 1.392130e+05 1.581916e+05 8.815074e-16 4.392890e+03 8.452522e+03 3.675762e+04 2.264076e+01 4.181736e+01 7.904411e+07 1.824088e+08 1.246393e+03
8.100000e+02 2.600000e-14 1.392130e+05 1.581915e+05 8.815068e-16 4.360745e+03 8.520544e+03 3.700244e+04 2.263061e+01 4.181735e+01 7.904777e+07 1.824554e+08 1.246632e+03
